Date,Open,High,Low,Close,Volume
05/08/2019,63513,64496,63513,64004,947120
05/09/2019,64299,64889,64004,64398,659180
05/10/2019,64398,64988,64103,64496,554370
05/13/2019,64693,64988,64496,64791,475420
05/14/2019,64299,65479,64299,65479,628480
05/15/2019,65578,66266,65381,65676,734230
05/16/2019,65676,66266,65676,65676,412210
05/17/2019,65676,65872,65479,65676,449040
05/20/2019,65676,66954,65578,66659,607060
05/21/2019,66757,67249,66561,66561,473170
05/22/2019,66364,67446,65872,66069,662700
05/23/2019,66266,66856,65971,66462,378440
05/24/2019,66167,66856,64988,65381,931250
05/27/2019,65872,66659,65381,66266,341320
05/28/2019,65872,67446,65676,66266,664400
05/29/2019,66462,66954,66069,66364,313510
05/30/2019,66364,66954,66167,66561,320900
05/31/2019,66364,66856,65676,66069,712090
06/03/2019,65381,66069,62923,65381,593660
06/04/2019,64889,66364,64791,66069,387780
06/05/2019,66069,66364,65578,65578,269120
06/06/2019,65578,65578,63906,64791,394550
06/07/2019,65381,65872,64103,64496,490880
06/10/2019,65676,66364,64889,65578,585460
06/11/2019,65381,66364,65381,66266,280100
06/12/2019,66266,66364,65774,65872,212910
06/13/2019,65872,66364,65283,66167,546960
06/14/2019,66364,68429,66167,68035,2478770
06/17/2019,68035,69117,67839,68035,1018520
06/18/2019,67839,69314,67052,69117,958120
06/19/2019,69215,69510,68232,68625,767310
06/20/2019,69215,68625,66802,68625,934290
06/21/2019,69215,69510,68232,68625,767310
06/24/2019,70297,72558,69805,71772,1407410
06/25/2019,71575,71575,70788,71182,390840
06/26/2019,71182,71280,69314,69314,918850
06/27/2019,69805,69805,68232,68330,1187150
06/28/2019,68429,70788,67249,69314,830140
07/01/2019,69805,70690,69707,70100,565640
07/02/2019,70297,70297,69117,69314,363020
07/03/2019,69314,69805,68429,68429,796720
07/05/2019,71280,71378,70788,71378,425620
07/08/2019,70788,71083,69805,70100,723300
07/09/2019,70297,70690,69412,70690,668550
07/10/2019,71280,71477,70690,71280,639160
07/11/2019,71378,73345,71378,72755,1286980
07/12/2019,72755,73246,72361,72460,926210
07/15/2019,72460,73738,72460,73738,1089930
07/16/2019,74229,76687,74131,75901,1901200
07/17/2019,75213,75803,74524,74918,802350
07/18/2019,74623,75901,74328,75114,858680
07/19/2019,75114,78457,75114,77671,1316760
07/22/2019,77671,78162,77376,77671,930520
07/24/2019,78162,78162,75213,75606,1380620
07/25/2019,75606,76491,75409,76392,457360
07/26/2019,76392,78359,76196,77671,890820
07/29/2019,77179,79637,76982,79637,986830
07/30/2019,80620,81112,79244,79244,1133490
07/31/2019,78654,79145,78260,78850,512820
08/01/2019,78850,79145,78359,79145,538850
08/02/2019,78359,79145,77769,77769,680000
08/05/2019,77867,78359,75803,76097,857570
08/06/2019,75114,75606,74524,75016,1172520
08/07/2019,75016,77081,75016,77081,567830
08/08/2019,77179,78457,76786,77179,612530
08/09/2019,77376,78064,77081,77179,638630
08/12/2019,77179,77474,75901,76392,475000
08/13/2019,75901,76196,74623,75016,809300
08/14/2019,76687,76687,75016,75016,354750
08/15/2019,73345,77671,73345,77671,510330
08/16/2019,76491,77277,76491,76589,551180
08/19/2019,76589,77179,75409,75508,692740
08/20/2019,76491,76491,75409,75606,453760
08/21/2019,75606,78949,75409,78654,1927720
08/22/2019,78850,79047,78260,78654,762090
08/23/2019,78654,78850,77867,77867,451500
08/26/2019,76884,77277,76196,76491,672220
08/27/2019,76884,77474,74721,75213,1116480
08/28/2019,75508,75999,75508,75704,588810
08/29/2019,75606,76097,75213,75508,422240
08/30/2019,75704,76392,75704,76392,280130
09/03/2019,76491,76589,75409,76491,580830
09/04/2019,76196,76196,75606,75999,527770
09/05/2019,75901,77474,75901,76294,408900
09/06/2019,76687,76687,75704,75999,287990
09/09/2019,75999,76097,75704,75901,236440
09/10/2019,75901,77867,75803,76392,651950
09/11/2019,75999,77179,75999,76884,141450
09/12/2019,77179,78162,77179,78162,800240
09/13/2019,78457,80620,78457,80522,1408780
09/16/2019,80522,81308,79440,79637,697310
09/17/2019,79342,79932,79145,79735,896290
09/18/2019,79735,81112,79145,79244,809820
09/19/2019,79637,80325,79145,80128,527230
09/20/2019,80128,81407,79637,79637,2794080
09/23/2019,80227,80522,78359,78457,925130
09/24/2019,78162,79440,77572,79244,791470
09/25/2019,78654,79539,78064,79342,729340
09/26/2019,79342,79932,78949,79637,1040190
